plot,plot_surf,crop_2018,crop_2019,crop_2020,rotation,frac_mean,apar_year,rapar
6816491,5.76,TRN,BTH,BTH,TRN_BTH_BTH,0.16633086492955892,472.2126196970536,0.2368648110192335
6816492,12.98,BTH,BTH,TRN,BTH_BTH_TRN,0.3252639203835162,774.2350616857764,0.38836116173328583
6816493,6.14,ORH,TRN,BTH,ORH_TRN_BTH,0.2366603538976887,607.009922380492,0.3044799832831574
6816496,2.15,PTR,SOG,TTP,PTR_SOG_TTP,0.4257227184528584,837.5546053925549,0.41686604259145515
6816558,9.23,BTH,TRN,BTH,BTH_TRN_BTH,0.24483405857613735,673.7612725990506,0.33796261334487293
6816563,0.97,ORH,TRN,BTH,ORH_TRN_BTH,0.14309080775851607,384.76605896763317,0.1930010678292602
6816565,3.67,CZH,BTH,CZH,CZH_BTH_CZH,0.32578378885119924,742.468194151203,0.37239218057864376
6816569,4.74,BTH,ORH,ORH,BTH_ORH_ORH,0.20329581359185978,551.0225927713674,0.2763707677805784
6816588,1.8,BTH,MIS,MIS,BTH_MIS_MIS,0.26111276273620077,754.7459643917874,0.37779402155668884
6816595,2.14,BTH,MIS,BTH,BTH_MIS_BTH,0.3257143710081979,897.2723793687888,0.44913673822243533
6816596,2.04,MIS,BTH,MIS,MIS_BTH_MIS,0.2714293320622973,778.7870462074342,0.38982797391975416
6816600,1.2,BTH,MIS,BTH,BTH_MIS_BTH,0.32693432867447153,845.0479619997271,0.4191588498835678
6816603,3.75,BTH,MIS,BTH,BTH_MIS_BTH,0.29472907800323267,802.8730995908942,0.39823936647406893
6816608,0.24,TTH,TTH,TTH,TTH_TTH_TTH,0.4539470768278807,980.8818889620311,0.47298369094960785
6816621,1.18,TTH,TTH,TTH,TTH_TTH_TTH,0.3555450937872491,793.408561251132,0.3828481850749174
6816626,0.5,PTR,PTR,PTR,PTR_PTR_PTR,0.8003571808049399,1656.7635254006723,0.7988955001543796
6816694,1.44,TTH,TTH,TTH,TTH_TTH_TTH,0.28198456646788644,587.673878197615,0.2833778083910955
6816700,2.47,TTH,TTH,TTH,TTH_TTH_TTH,0.2480059093087067,546.468515744094,0.2635084799433998
6816701,0.58,PTR,PTR,PTR,PTR_PTR_PTR,0.7135753796642974,1499.2114740193822,0.722923508401263
6816713,1.82,TRN,BTH,BTH,TRN_BTH_BTH,0.21474661787602684,483.35670432501144,0.24222947033631562
6816724,1.48,TTH,MIE,MIE,TTH_MIE_MIE,0.3921585492186944,786.1656320287185,0.3789651267978756
6816733,0.44,TTH,MIE,TTH,TTH_MIE_TTH,0.33063216270467394,695.2503646574997,0.335140117889399
6816735,0.62,BTH,MIE,BTH,BTH_MIE_BTH,0.542597706903112,1083.7044533953238,0.5223914387259542
6816744,1.22,TTH,PTR,PTR,TTH_PTR_PTR,0.6059879400325967,1237.0634228186643,0.6294601161671205
6816751,0.89,PTR,BTH,TTH,PTR_BTH_TTH,0.3061640473879115,725.8902100258765,0.36935772855232296
6816754,0.66,PTR,PTR,PTR,PTR_PTR_PTR,0.6996980827772104,1411.5462033405845,0.718242913613545
6816764,1.36,TTH,AVP,MCR,TTH_AVP_MCR,0.3001790886580622,681.5050830554773,0.34677306016464937
6816780,4,PTR,PTR,PTR,PTR_PTR_PTR,0.7235023227722251,1525.9224967009964,0.7698913631103721
6816808,1.69,TRN,BTH,BTH,TRN_BTH_BTH,0.204266339210351,474.8335771762313,0.23795818878299332
6816818,0.62,MIE,TTH,MIE,MIE_TTH_MIE,0.3344244605550857,724.5499800150967,0.34926377325762953
6816823,2.71,MIE,BTH,MIE,MIE_BTH_MIE,0.43782539975938234,946.5485898353612,0.45627650428021305
6816826,1.89,BTH,MIE,BTH,BTH_MIE_BTH,0.4588239249981431,970.8024443137726,0.46796788922924715
6816832,1.4,MIE,MIE,TTH,MIE_MIE_TTH,0.30539714488169906,620.4123056456052,0.29906500423992133
