date,day_num,plot,ndvi,SURF_PARC,CODE_CULTU_2018,CODE_CULTU_2019,CODE_CULTU_2020,crop,year,com,radiation,min_ndvi,max_ndvi,scaled_ndvi,frac,par,apar,rotation,gp
2020-06-15,897,6851622,0.28991476232451985,0.58,MIS,MIS,MIS,MIS,2020,63455,16960174.20524876,0.27396412680756393,0.7400515569439244,0.03422241083027991,0.00117117340303645,8140883.618519404,9534.38637122514,MIS_MIS_MIS,top
2020-06-15,897,6857720,0.19656447428363513,5.45,MIS,MIS,MIS,MIS,2020,63149,16911058.324048426,0.05515684448253138,0.7837335879847629,0.19408748777975593,0.03766995291265691,8117307.995543244,305778.6099696474,MIS_MIS_MIS,low
2020-06-15,897,13282854,0.13104408733072417,14.48,MIS,MIS,MIS,MIS,2020,63327,16967410,0.15,0.72812692995962,-0.03278849624009008,0.0010750854856864,8144356.8,8755.879785931345,MIS_MIS_MIS,low
2020-06-15,897,13291807,0.23963366891194132,4.52,MIS,MIS,MIS,MIS,2020,63151,16566019.48179216,0.19443403751167376,0.8755654353370409,0.06635963566585742,0.00440360124570533,7951689.3512602365,35016.069132671444,MIS_MIS_MIS,top
2020-06-16,898,6787103,0.2641380876674994,0.33,MIS,MIS,MIS,MIS,2020,63195,16812724.60917981,0.1581965907280548,0.8487464036169339,0.15341615472494863,0.02353651653058938,8070107.812406308,189942.2259303395,MIS_MIS_MIS,top
2020-06-16,898,6801438,0.2109499826380161,1.2,MIS,MIS,MIS,MIS,2020,63149,16355238.642964443,0.05225541919217437,0.679742152516227,0.25290504964969057,0.06396096413831245,7850514.548622932,502126.4795117715,MIS_MIS_MIS,low
2020-06-16,898,6815364,0.2694628688531109,6.66,MIS,MIS,MIS,MIS,2020,63444,17537919.169191737,0.11633484928319594,0.8640873567770765,0.2047843611827248,0.04193663458501667,8418201.201212034,353031.0276383775,MIS_MIS_MIS,low
2020-06-16,898,6819224,0.2678814762868486,1.78,MIS,MIS,MIS,MIS,2020,63366,17986425.90550227,0.10322638241291604,0.75,0.2545791748405118,0.06481055626247587,8633484.43464109,559540.9286925159,MIS_MIS_MIS,top
2020-06-16,898,6838703,0.1453047221815631,1.33,MIS,MIS,MIS,MIS,2020,63194,16679579.6693372,0.15,0.7526723339348179,-0.00779076382647542,6.069600099991807e-5,8006198.241281856,485.94421645838577,MIS_MIS_MIS,low
2020-06-16,898,6841153,0.355607677062762,3.36,MIS,MIS,MIS,MIS,2020,63138,17007665.256904412,0.18184657615101008,0.75,0.3058348214019318,0.09353493798195152,8163679.323314117,763589.2392107259,MIS_MIS_MIS,top
2020-06-16,898,6851622,0.28991476232451985,0.58,MIS,MIS,MIS,MIS,2020,63455,16604046.156483063,0.27396412680756393,0.7400515569439244,0.03422241083027991,0.00117117340303645,7969942.15511187,9334.184275806105,MIS_MIS_MIS,top
2020-06-16,898,6857720,0.19656447428363513,5.45,MIS,MIS,MIS,MIS,2020,63149,16355238.642964443,0.05515684448253138,0.7837335879847629,0.19408748777975593,0.03766995291265691,7850514.548622932,295728.51338675385,MIS_MIS_MIS,low
2020-06-16,898,13282854,0.13104408733072417,14.48,MIS,MIS,MIS,MIS,2020,63327,15961678,0.15,0.72812692995962,-0.03278849624009008,0.0010750854856864,7661605.44,8236.880805599974,MIS_MIS_MIS,low
2020-06-16,898,13291807,0.23963366891194132,4.52,MIS,MIS,MIS,MIS,2020,63151,17529717.736752074,0.19443403751167376,0.8755654353370409,0.06635963566585742,0.00440360124570533,8414264.513640996,37053.065693963705,MIS_MIS_MIS,top
2020-06-17,899,6787103,0.2641380876674994,0.33,MIS,MIS,MIS,MIS,2020,63195,17452904.6055814,0.1581965907280548,0.8487464036169339,0.15341615472494863,0.02353651653058938,8377394.210679071,197174.6773229117,MIS_MIS_MIS,top
2020-06-17,899,6801438,0.2109499826380161,1.2,MIS,MIS,MIS,MIS,2020,63149,17401489.99386242,0.05225541919217437,0.679742152516227,0.25290504964969057,0.06396096413831245,8352715.197053961,534247.7171763058,MIS_MIS_MIS,low
2020-06-17,899,6815364,0.2694628688531109,6.66,MIS,MIS,MIS,MIS,2020,63444,18233739.950021144,0.11633484928319594,0.8640873567770765,0.2047843611827248,0.04193663458501667,8752195.176010149,367037.6109130833,MIS_MIS_MIS,low
2020-06-17,899,6819224,0.2678814762868486,1.78,MIS,MIS,MIS,MIS,2020,63366,18400122.691708032,0.10322638241291604,0.75,0.2545791748405118,0.06481055626247587,8832058.892019855,572410.6497347531,MIS_MIS_MIS,top
2020-06-17,899,6838703,0.1453047221815631,1.33,MIS,MIS,MIS,MIS,2020,63194,17612299.6332048,0.15,0.7526723339348179,-0.00779076382647542,6.069600099991807e-5,8453903.823938303,513.1181549509704,MIS_MIS_MIS,low
2020-06-17,899,6841153,0.355607677062762,3.36,MIS,MIS,MIS,MIS,2020,63138,17387244.92520052,0.18184657615101008,0.75,0.3058348214019318,0.09353493798195152,8345877.564096249,780631.1403627032,MIS_MIS_MIS,top
2020-06-17,899,6851622,0.28991476232451985,0.58,MIS,MIS,MIS,MIS,2020,63455,17781278.860440742,0.27396412680756393,0.7400515569439244,0.03422241083027991,0.00117117340303645,8535013.853011556,9995.98121919487,MIS_MIS_MIS,top
2020-06-17,899,6857720,0.19656447428363513,5.45,MIS,MIS,MIS,MIS,2020,63149,17401489.99386242,0.05515684448253138,0.7837335879847629,0.19408748777975593,0.03766995291265691,8352715.197053961,314646.3881658565,MIS_MIS_MIS,low
2020-06-17,899,13282854,0.13104408733072417,14.48,MIS,MIS,MIS,MIS,2020,63327,17542348,0.15,0.72812692995962,-0.03278849624009008,0.0010750854856864,8420327.04,9052.571385436737,MIS_MIS_MIS,low
