date,day_num,plot,ndvi,SURF_PARC,CODE_CULTU_2018,CODE_CULTU_2019,CODE_CULTU_2020,crop,year
2020-07-09,921,10903283,0.2542882102566216,4.71,BDH,MIS,BTH,BTH,2020
2020-01-05,735,6858444,0.24276274062818137,1.09,BTH,BTH,BTH,BTH,2020
2020-11-28,1063,6755325,0.27722623754508396,4.08,LU7,LUZ,BTH,BTH,2020
2020-08-23,966,10900211,0.1904011989821816,3.34,ORH,MIE,BTH,BTH,2020
2020-04-04,825,6890137,0.8552576523860589,1.21,BTH,MIS,BTH,BTH,2020
2020-08-26,969,6879361,0.16887777698640993,4.1,PTR,PTR,BTH,BTH,2020
2020-06-26,908,6826929,0.6367668545427905,4.54,BTH,MIS,BTH,BTH,2020
2020-01-23,753,6839698,0.21760273348701203,1.06,MIS,MIS,BTH,BTH,2020
2020-06-14,896,6805984,0.7432686142098205,0.69,BTH,ORH,BTH,BTH,2020
2020-09-21,995,6833543,0.1884998897477442,1.49,TRN,BTH,BTH,BTH,2020
2020-05-11,862,13282183,0.6910538974447804,3.9,CZH,BTH,BTH,BTH,2020
2020-08-04,947,6804425,0.11156926231930672,7.89,MIE,BTH,BTH,BTH,2020
2020-03-28,818,10895000,0.8196203529444382,1.43,BTH,TRN,BTH,BTH,2020
2020-11-30,1065,6884317,0.16693382025610912,0.33,CZH,BTH,BTH,BTH,2020
2020-08-13,956,6783708,0.13370641991856774,2.39,PPR,BTH,BTH,BTH,2020
2020-09-17,991,6837452,0.23699171151884013,0.79,TR8,TRE,BTH,BTH,2020
2020-05-03,854,6829354,0.8263450841240552,1.65,BTH,TRN,BTH,BTH,2020
2020-12-14,1079,6850210,0.17584648884956097,2.9,AVH,BTH,BTH,BTH,2020
2020-08-03,946,13286345,0.17672472082028975,3.79,TRN,BTH,BTH,BTH,2020
2020-02-11,772,6803752,0.2074774349090162,2.23,TRN,BTH,BTH,BTH,2020
2020-02-16,777,10891597,0.5377746713645295,1.42,BTH,MIE,BTH,BTH,2020
2020-10-21,1025,6876148,0.12201971754660704,3.77,BTH,TRN,BTH,BTH,2020
2020-10-13,1017,6862135,0.15927878260265527,1.89,BTH,MIS,BTH,BTH,2020
2020-07-31,943,6886358,0.19203415640881993,1,BTH,MIS,BTH,BTH,2020
2020-02-15,776,6860269,0.3908383412548344,1.89,BTH,BTH,BTH,BTH,2020
2020-04-15,836,13276127,0.8234210221912929,1.5,BTH,BTH,BTH,BTH,2020
2020-05-11,862,6776561,0.9363969415968018,6.79,BTH,MIS,BTH,BTH,2020
2020-12-23,1088,6859918,0.6049193830181658,2.34,AVP,AVP,BTH,BTH,2020
2020-07-11,923,6765733,0.2534943088727922,1.47,BTH,MIS,BTH,BTH,2020
2020-12-25,1090,6754300,0.16595816775730793,1.37,ORH,TRN,BTH,BTH,2020
2020-03-12,802,6759765,0.2815068703850394,6.56,MIS,BTH,BTH,BTH,2020
2020-04-18,839,6803693,0.7884401375855349,0.8,BTH,BTH,BTH,BTH,2020
2020-09-04,978,13276112,0.15560755164757745,3.09,TRN,BTH,BTH,BTH,2020
2020-04-06,827,10906869,0.8646741635174285,3.27,BTH,MIS,BTH,BTH,2020
2020-07-31,943,6873523,0.1157900500612658,2.24,BTH,MIS,BTH,BTH,2020
2020-08-29,972,6872697,0.15253898122466775,1.65,BTH,AVP,BTH,BTH,2020
2020-09-03,977,6859502,0.2428003249366295,1.93,BTH,MIS,BTH,BTH,2020
2020-12-25,1090,10911796,0.18069823298831353,9.38,BTH,MIS,BTH,BTH,2020
2020-11-14,1049,6752332,0.8937305661397875,2.83,BTH,BTH,BTH,BTH,2020
2020-04-10,831,10896262,0.8688380134746833,1.9,BTH,MIS,BTH,BTH,2020
2020-01-10,740,6801964,0.6862372245899689,6.72,CZH,BTH,BTH,BTH,2020
2020-07-05,917,6849299,0.32392677530350383,1.48,BTP,MIE,BTH,BTH,2020
2020-06-30,912,6854723,0.3010375829743936,5.19,TRN,BTH,BTH,BTH,2020
2020-11-26,1061,13294371,0.2098081002822403,1.21,BTH,BTH,BTH,BTH,2020
2020-06-07,889,10910103,0.7771134090212707,2.04,MIS,BTH,BTH,BTH,2020
2020-01-16,746,13290926,0.4506388956575034,9.27,ORH,CZH,BTH,BTH,2020
2020-03-17,807,6861664,0.35321934456290677,4.24,TRN,BTH,BTH,BTH,2020
2020-08-07,950,13274070,0.21394882631282905,4.57,BTH,TRN,BTH,BTH,2020
2020-11-03,1038,6874455,0.2657164857758744,1.37,BTH,MIS,BTH,BTH,2020
2020-02-03,764,13271992,0.501759284431388,1.41,BTH,TRN,BTH,BTH,2020
2020-11-27,1062,6860178,0.17263936769744068,3.52,TRN,BTH,BTH,BTH,2020
2020-12-06,1071,13289272,0.3345719462067596,0.73,BTH,MIE,BTH,BTH,2020
2020-07-11,923,6826785,0.333358702741456,0.99,BTH,BTH,BTH,BTH,2020
2020-05-20,871,6884880,0.9228366843484892,6.54,BTH,MIS,BTH,BTH,2020
2020-01-27,757,6873993,0.3144327811715712,4.82,ORH,TRN,BTH,BTH,2020
2020-11-09,1044,6823475,0.11939431973343524,4.56,LU7,LUZ,BTH,BTH,2020
2020-01-04,734,6870355,0.18672668931147737,1.77,TRN,BTH,BTH,BTH,2020
2020-01-08,738,10892705,0.4388503061999078,2.8,BTH,ORH,BTH,BTH,2020
2020-10-10,1014,6860895,0.10092441829162306,2.88,BTH,FVL,BTH,BTH,2020
2020-07-08,920,6808846,0.2710382627724127,1.73,BTH,MIS,BTH,BTH,2020
2020-08-06,949,13294589,0.18893015864809012,2.82,TRN,BTH,BTH,BTH,2020
2020-03-19,809,13289142,0.8335632201882914,2.15,CZH,BTH,BTH,BTH,2020
2020-09-07,981,6855314,0.12580904615627317,0.59,BTH,BTH,BTH,BTH,2020
2020-03-28,818,6876068,0.552955735327495,0.98,PPR,BTH,BTH,BTH,2020
2020-12-04,1069,6857630,0.2353452640834266,2.54,BTH,MIS,BTH,BTH,2020
